player,match_id,date,season,team,opposition,venue,total_score,batting_score,bowling_score,avg_score,weighted_avg_score,num_matches,recent_score,venue_avg_score,venue_std_score,venue_recent_score,num_venue_matches,venue_batting_avg,venue_bowling_avg,opposition_avg_score,opposition_std_score,num_opposition_matches,opposition_batting_avg,opposition_bowling_avg,venue_opposition_avg,venue_opposition_std,recent_venue_avg,recent_venue_std,recent_opposition_avg,recent_opposition_std,avg_1st_innings_bat_score,avg_2nd_innings_bat_score,avg_1st_innings_bowl_score,avg_2nd_innings_bowl_score,recent_5_avg,recent_5_std,recent_10_avg,recent_10_std,recent_20_avg,recent_20_std,batting_avg,bowling_avg,batting_matches,bowling_matches,recent_batting_avg,recent_bowling_avg,average_balls_faced,average_balls_bowled,average_balls_faced_at_venue,average_balls_bowled_at_venue,strike_rate_batting,strike_rate_bowling,economy_rate_bowling,score_std,recent_score_std,form_trend,avg_days_between_matches,avg_rank_last_5,top_11_count_last_5
Conway,202374,2023-05-29,,CSK,GT,"Narendra Modi Stadium, Ahmedabad",85,85,0,77.95238095238095,79.3198307883916,21,73.0,1.0,66.77909567407768,1.0,1,1.0,0.0,27.333333333333332,42.19399641339196,3,22.0,0.0,1.0,66.77909567407768,1.0,66.77909567407768,27.333333333333332,42.19399641339196,83.71428571428571,81.0,0.0,0.0,73.0,56.4889369699944,96.7,64.09550166223316,81.7,66.20947618613295,74.9047619047619,0.0,21,0,69.8,0.0,29.952380952380953,0.0,6.0,0.0,1.3942766295707472,0.0,0.0,66.77909567407768,56.4889369699944,15.000000000000007,21.15,7.6,4
Rahane,202206,2022-03-30,,KKR,RCB,"Dr DY Patil Sports Academy, Mumbai",21,13,0,78.0,78.0,1,78.0,78.0,,78.0,0,78.0,0.0,78.0,,0,78.0,0.0,78.0,,78.0,,78.0,,78.0,78.0,0.0,0.0,78.0,,78.0,,78.0,,78.0,0.0,1,0,78.0,0.0,34.0,0.0,34.0,0.0,1.2941176470588236,0.0,0.0,,,0.0,0.0,3.0,1
Rahane,202208,2022-04-01,,KKR,PBKS,"Wankhede Stadium, Mumbai",24,24,0,49.5,48.930075987841974,2,49.5,78.0,40.30508652763321,78.0,1,78.0,0.0,49.5,40.30508652763321,0,45.5,0.0,49.5,40.30508652763321,78.0,40.30508652763321,49.5,40.30508652763321,13.0,78.0,0.0,0.0,49.5,40.30508652763321,49.5,40.30508652763321,49.5,40.30508652763321,45.5,0.0,2,0,45.5,0.0,22.0,0.0,34.0,0.0,1.2045454545454546,0.0,0.0,40.30508652763321,40.30508652763321,-57.0,4.0,11.0,1
Rahane,202214,2022-04-06,,KKR,MI,"Maharashtra Cricket Association Stadium, Pune",5,5,0,41.0,40.398115034655355,3,41.0,41.0,32.07802986469088,41.0,0,38.333333333333336,0.0,41.0,32.07802986469088,0,38.333333333333336,0.0,41.0,32.07802986469088,41.0,32.07802986469088,41.0,32.07802986469088,13.0,51.0,0.0,0.0,41.0,32.07802986469088,41.0,32.07802986469088,41.0,32.07802986469088,38.333333333333336,0.0,3,0,38.333333333333336,0.0,18.333333333333332,0.0,18.333333333333332,0.0,1.1818181818181819,0.0,0.0,32.07802986469088,32.07802986469088,-26.999999999999993,3.0,11.666666666666666,1
Rahane,202219,2022-04-10,,KKR,DC,"Brabourne Stadium, Mumbai",16,8,0,32.0,31.032189855883995,4,32.0,32.0,31.78049716414141,32.0,0,30.0,0.0,32.0,31.78049716414141,0,30.0,0.0,32.0,31.78049716414141,32.0,31.78049716414141,32.0,31.78049716414141,13.0,35.666666666666664,0.0,0.0,32.0,31.78049716414141,32.0,31.78049716414141,32.0,31.78049716414141,30.0,0.0,4,0,30.0,0.0,16.5,0.0,16.5,0.0,1.0909090909090908,0.0,0.0,31.78049716414141,31.78049716414141,-7.9999999999999964,3.6666666666666665,14.0,1
Rahane,202256,2022-05-09,,KKR,MI,"Dr DY Patil Sports Academy, Mumbai",49,41,0,28.8,27.786381809071223,5,28.8,21.0,28.437651098499682,21.0,1,13.0,0.0,5.0,28.437651098499682,1,5.0,0.0,28.8,28.437651098499682,21.0,28.437651098499682,5.0,28.437651098499682,13.0,28.75,0.0,0.0,28.8,28.437651098499682,28.8,28.437651098499682,28.8,28.437651098499682,25.6,0.0,5,0,25.6,0.0,16.0,0.0,10.0,0.0,1.0,0.0,0.0,28.437651098499682,28.437651098499682,-4.000000000000001,3.75,15.0,1
Rahane,202261,2022-05-14,,KKR,SRH,"Maharashtra Cricket Association Stadium, Pune",50,50,0,32.166666666666664,32.537041009846774,6,23.0,5.0,26.73886060898382,5.0,1,5.0,0.0,32.166666666666664,26.73886060898382,0,28.166666666666668,0.0,32.166666666666664,26.73886060898382,5.0,26.73886060898382,32.166666666666664,26.73886060898382,27.0,28.75,0.0,0.0,23.0,16.232683080747925,32.166666666666664,26.73886060898382,32.166666666666664,26.73886060898382,28.166666666666668,0.0,6,0,18.2,0.0,17.333333333333332,0.0,11.0,0.0,1.0096153846153846,0.0,0.0,26.73886060898382,16.232683080747925,22.000000000000007,8.8,16.4,1
Rahane,202312,2023-04-08,,CSK,MI,"Wankhede Stadium, Mumbai",129,121,0,34.714285714285715,34.71428571428571,7,28.8,51.0,38.18376618407357,51.0,2,51.0,0.0,27.0,31.11269837220809,2,23.0,0.0,34.714285714285715,25.322679464031747,51.0,38.18376618407357,27.0,31.11269837220809,34.666666666666664,28.75,0.0,0.0,28.8,20.06738647656939,34.714285714285715,25.322679464031747,34.714285714285715,25.322679464031747,31.285714285714285,0.0,7,0,25.6,0.0,18.285714285714285,0.0,22.5,0.0,1.0390625,0.0,0.0,25.322679464031747,20.06738647656939,17.000000000000004,8.166666666666666,14.4,2
Rahane,202317,2023-04-12,,CSK,RR,"MA Chidambaram Stadium, Chennai",53,53,0,46.5,52.11343062120355,8,49.8,46.5,40.753615089426646,49.8,0,42.5,0.0,46.5,40.753615089426646,0,42.5,0.0,46.5,40.753615089426646,46.5,40.753615089426646,46.5,40.753615089426646,34.666666666666664,47.2,0.0,0.0,49.8,48.53555397850116,46.5,40.753615089426646,46.5,40.753615089426646,42.5,0.0,8,0,45.0,0.0,19.375,0.0,19.375,0.0,1.2516129032258065,0.0,0.0,40.753615089426646,48.53555397850116,40.00000000000002,54.0,12.0,3
Rahane,202324,2023-04-17,,CSK,RCB,"M.Chinnaswamy Stadium, Bengaluru",71,71,0,47.22222222222222,51.66186854454878,9,59.4,47.22222222222222,38.18303870103117,59.4,0,43.666666666666664,0.0,21.0,38.18303870103117,1,13.0,0.0,47.22222222222222,38.18303870103117,47.22222222222222,38.18303870103117,21.0,38.18303870103117,34.666666666666664,48.166666666666664,0.0,0.0,59.4,41.728886877078324,47.22222222222222,38.18303870103117,47.22222222222222,38.18303870103117,43.666666666666664,0.0,9,0,54.6,0.0,19.333333333333332,0.0,19.333333333333332,0.0,1.293103448275862,0.0,0.0,38.18303870103117,41.728886877078324,1.50000000000001,47.75,10.0,4
